WY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,SedDischarge,Normalized WavePower,Storm Direction(degN)
2003,-2.768499982,-9.084451054,-5.035036868,-3.585712016,-6.17168963,-4.829562744,-4.146495158,-6.008685066,-5.571402427,-7.751530735,-11.13265386,-15.71341291,-20.06408054,-21.98202883,-8.540237153,-6.308544015,-9.317099053,-10.55158526,2.4,1.129565412,286.7613758
2004,1.474050189,-5.576170979,-3.058301503,-3.606695727,-11.78516491,-11.32692643,-8.730104258,0.2676208339,-6.305386577,-6.461901335,-5.546141606,-3.807140958,-6.945596543,-8.367349431,-5.049619253,-1.229377815,-1.648979803,-7.920103015,2.6,0.9416624018,292.457868
2005,1.068130145,2.361204872,1.428019138,0.03349827728,-7.635447752,-3.329520994,-5.226888658,-6.355112266,-7.009491527,-8.370604985,-6.619512456,-6.529607108,-3.734887743,-10.43710323,-6.297267753,-7.410259115,-5.783720303,-5.608041415,31.2,0.8745290552,286.0846852
2006,2.433538163,3.334494414,1.851526669,-1.171336642,-2.923873803,2.180997151,-2.694908658,-2.600913666,-7.501885327,-10.05759723,-9.511507306,-6.417224808,-10.77626064,-14.49027653,-7.993902953,-2.504515715,-5.062665553,-10.34584811,15.9,1.099281596,289.7384527
2007,-1.723978019,-1.00662195,0.2273356194,0.392516363,-8.26392999,-2.832706948,-5.461040608,-3.283374666,-9.161923527,-10.73799623,-6.883018656,-7.834531908,-12.03486364,-12.22429953,-4.877074453,-0.9210003153,2.393678697,-2.071342315,0.2,0.9185054655,298.3829521
2008,-1.359934222,-3.547988828,0.1802840722,-4.154780107,-12.12213279,-8.541998809,-3.182465458,-4.179854766,-7.248579727,-11.70925633,-6.286359356,-5.771327108,-13.80530359,-20.83786293,-7.954708353,-7.092112365,-9.556975903,-13.95305141,1.0,1.058805708,280.7095227
2009,-0.05505201188,-1.654530002,1.212393559,-0.9379687711,-7.280146725,-4.536960097,-0.3109452085,-3.817597166,-6.934379627,-5.991623835,-3.954023506,-6.109342108,-6.767047643,-7.674335531,-8.612619853,-3.884829815,-8.487852203,-10.72921181,22.1,0.8049715384,294.15312
2010,9.871895858,11.26641247,7.198456064,4.444495837,0.7984980806,6.36687659,-2.689800208,-4.772497366,-5.637134777,-8.122673485,-8.754386406,-11.53609751,-21.71296934,-18.91400978,-11.26650505,-10.15883202,-7.086026103,-9.661114915,120.3,1.275216749,289.945632
2011,5.346545497,9.82486224,9.075471645,5.476319961,9.907922141,6.811384706,1.128062642,1.165385734,0.01769137331,-4.977865235,-1.992052956,-4.900425958,-8.440360543,-4.737146731,-2.662094953,1.018575385,-4.949076703,-9.654031415,34.2,0.9040490729,291.1837404
2012,-0.3419442283,-0.1581132939,2.44734473,3.25675766,7.586222113,5.00556894,-2.864277508,-10.32896777,-8.167188427,-6.198937335,-7.766880156,-10.42938311,-8.808701643,-4.483703631,-1.183053453,-5.362841515,-0.9570013035,-0.7335888148,0.6,0.9907942211,298.4821627
2013,-9.134881221,-4.338557752,-12.73884635,-12.67510389,-14.72299211,-11.59451806,0.3487728915,-5.188034016,-2.226137627,6.026123415,3.378770344,-1.967105558,0.6023301572,4.004699519,-1.501961203,-9.930285115,-10.0720566,-1.616565415,0.0,0.8621896954,299.2238178
2014,-9.902222467,-13.91007505,-11.12306495,-12.15883834,-17.28800097,-14.57599758,-11.52527756,-20.57939267,-16.04834253,-7.429957385,-14.15393671,-22.47405951,-14.84552274,-10.54126833,-5.000231853,-9.263273015,-3.917494553,0.1368180852,0.1,0.761370896,290.9499139
2015,-14.26692847,-16.5161634,-11.49488532,-14.66111957,-18.53566385,-14.24263453,-11.18245616,-18.80693252,-15.18943628,-7.108499035,-11.00646691,-20.62268126,-17.27244229,-11.79863858,-8.719238353,-14.51159552,-12.5678421,-11.63018336,1.8,0.8132659922,288.5064433
2016,-12.09478824,-9.219211211,-10.95471811,-7.979910303,-5.675359558,-6.395868041,-3.330825058,-16.13035127,-12.85731643,-3.713820235,-7.937875906,-12.23932691,-15.08244169,-20.34510433,-7.757175103,-14.11963242,-12.6728776,-8.815136615,5.4,1.38613068,295.3282188
2017,17.27744621,21.78632998,30.07782899,37.1679266,38.01606827,29.04759291,8.903017042,-7.821791166,1.454793473,1.400339965,-1.144351356,-10.61859141,-12.23818364,-8.779774531,0.08827414667,-7.623727115,-7.328317803,-5.823675415,2207.2,1.07571494,288.0524763
2018,1.396669336,6.638789781,4.785643187,10.25088572,20.29719472,19.26504638,12.44298084,11.73069088,16.43730167,14.73085817,14.22760824,13.44358479,18.36250346,20.29423807,13.56188085,15.67634438,15.0036637,19.35494249,4.2,0.7974085346,301.4968293
2019,0.1181461823,5.804633225,4.896099206,6.667649904,17.74320497,14.61741616,9.261882342,8.174578234,12.17478237,10.05096957,12.60244089,11.32055424,13.83667476,16.59522147,10.53490045,1.947919185,8.306736497,9.596058585,291.6,1.085589316,283.2168613
2020,-7.228526739,-4.969043728,-5.611126332,-4.140545381,5.356607416,7.55990968,4.051361442,5.759687434,9.996669523,6.450571715,10.23448464,12.69263409,21.90818361,24.82691267,17.3798079,13.78436268,16.26552435,20.66942109,1.7,0.8549500726,302.3659183
